"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"94","LAA","LAA",2020,"302","31.1","0.200","0.080","0.278","0.280","0.224","0.257","0.236","5","25","85.8","15.2","2452","85.9","85.19","20","47","47","-0.7","5.84","116","149","120","153","306","326","308"
"55","SF","SF",2020,"338","16.3","0.250","0.083","0.333","0.333","0.285","0.213","0.185","3","12","76.7","5.1","2450","81.5","81.09","4","23","32","-0.4","6.09","108","152","115","149","294","330","302"
"106","CHC","CHC",2021,"465","22.8","0.130","0.130","0.182","0.261","0.216","0.176","0.089","3","23","85.7","5.5","2450","87.0","86.61","21","55","51","-0.4","6.04","111","155","115","153","296","319","300"
"106","NYM","NYM",2022,"453","23.4","0.250","0.179","0.286","0.429","0.295","0.209","0.160","7","28","84.6","17.2","2449","83.8","83.81","17","55","51","0.0","6.29","108","153","122","147","295","317","302"
"110","LAA","LAA",2018,"430","25.6","0.200","0.240","0.286","0.440","0.271","0.234","0.183","5","25","90.7","4.7","2446","82.6","81.57","23","54","56","-1.0","5.67","110","151","111","147","298","326","304"
"64","ARI","ARI",2022,"890","7.2","0.188","0.313","0.167","0.500","0.333","0.433","0.322","3","16","94.4","15.7","2445","84.4","83.77","7","33","31","-0.6","5.84","110","150","122","147","291","313","295"
"1755","SD","SD",2018,"11852","14.8","0.218","0.126","0.310","0.345","0.281","0.276","0.212","95","435","87.7","11.1","2436","83.1","81.70","255","787","968","-1.4","5.46","114","149","115","146","295","316","301"
"280","COL","COL",2022,"1368","20.5","0.181","0.181","0.227","0.361","0.253","0.246","0.191","13","72","89.4","17.5","2428","86.2","85.97","45","133","147","-0.2","6.19","112","153","125","148","299","321","299"
"44","TEX","TEX",2020,"334","13.2","0.125","0.000","0.333","0.125","0.231","0.195","0.071","1","8","70.8","22.7","2419","84.3","84.33","10","22","22","0.0","6.30","109","154","117","146","289","320","295"
"54","MIN","MIN",2022,"433","12.5","0.188","0.375","0.111","0.563","0.314","0.186","0.166","3","16","87.8","28.5","2419","81.9","81.30","13","32","22","-0.6","6.10","116","158","128","151","295","329","310"
"130","CIN","CIN",2021,"586","22.2","0.222","0.444","0.273","0.667","0.373","0.360","0.256","6","27","95.0","29.8","2419","85.4","85.13","21","56","74","-0.3","6.17","115","150","117","150","294","322","304"
"98","CIN","CIN",2019,"542","18.1","0.176","0.176","0.273","0.353","0.286","0.215","0.124","3","17","82.5","10.2","2417","86.1","85.13","17","38","60","-1.0","5.62","114","153","118","146","293","316","294"
"80","STL","STL",2021,"553","14.5","0.375","0.125","0.500","0.500","0.394","0.313","0.286","6","16","90.1","10.4","2405","84.4","84.72","10","33","47","0.3","6.44","112","152","120","147","296","317","287"
"137","SEA","SEA",2020,"902","15.2","0.241","0.552","0.143","0.793","0.449","0.499","0.310","7","29","91.4","18.3","2404","84.1","84.15","19","57","80","0.1","6.38","107","157","123","148","290","328","305"
"70","CIN","CIN",2018,"439","15.9","0.278","0.389","0.267","0.667","0.349","0.459","0.363","5","18","90.1","18.4","2404","85.0","84.09","9","37","33","-0.9","5.74","111","149","108","143","297","308","293"
"80","STL","STL",2018,"663","12.1","0.214","0.071","0.300","0.286","0.340","0.294","0.142","3","14","89.2","15.1","2402","84.7","83.78","11","35","45","-0.9","5.74","113","148","105","150","291","309","297"
