"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"19","MIL","MIL",2019,"472","4.0","0.000","0.000","0.000","0.000","0.000","0.023","0.021","0","5","84.6","26.0","2440","79.8","79.51","4","5","14","-0.3","5.73","113","156","108","152","310","336","316"
"98","SD","SD",2022,"1043","9.4","0.333","0.208","0.438","0.542","0.373","0.296","0.247","8","24","82.8","15.9","2438","80.2","80.94","18","43","55","0.7","6.39","108","160","115","148","306","323","307"
"62","KC","KC",2022,"517","12.0","0.375","0.125","0.400","0.500","0.375","0.356","0.304","6","16","90.3","19.8","2437","78.0","78.74","8","34","28","0.7","6.43","106","155","117","148","313","331","314"
"72","TEX","TEX",2021,"454","15.9","0.368","0.263","0.538","0.632","0.431","0.294","0.275","7","19","91.7","23.5","2435","80.4","80.64","12","38","34","0.2","6.16","110","152","120","145","311","345","298"
"27","OAK","OAK",2018,"358","7.5","0.222","0.444","0.167","0.667","0.364","0.479","0.358","2","9","94.7","21.6","2425","78.2","77.71","1","12","15","-0.5","5.66","112","150","124","148","306","340","305"
"59","STL","STL",2022,"451","13.1","0.333","0.267","0.444","0.600","0.417","0.286","0.232","5","15","85.1","16.7","2419","78.2","78.78","10","28","31","0.6","6.32","110","154","115","147","308","330","306"
"166","SD","SD",2018,"1213","13.7","0.179","0.026","0.280","0.205","0.176","0.196","0.174","7","39","84.8","7.6","2410","79.2","79.16","35","74","92","0.0","5.94","117","149","113","148","315","331","308"
"62","ARI","ARI",2020,"485","12.8","0.190","0.048","0.267","0.238","0.185","0.196","0.206","4","21","81.2","14.0","2406","81.1","81.61","10","34","28","0.5","6.20","109","154","121","151","301","331","305"
"44","STL","STL",2019,"406","10.8","0.000","0.000","0.000","0.000","0.000","0.146","0.128","0","5","90.6","24.7","2404","77.5","76.81","5","11","33","-0.7","5.48","118","156","111","152","307","346","307"
"35","LAA","LAA",2020,"429","8.2","0.200","0.100","0.333","0.300","0.212","0.215","0.223","2","10","91.2","-0.2","2400","80.1","79.98","8","19","16","-0.1","5.81","111","149","109","144","311","334","298"
"37","SF","SF",2020,"871","4.2","0.000","0.000","0.000","0.000","0.000","0.174","0.177","0","4","79.9","12.3","2396","80.3","80.59","4","14","23","0.3","6.07","105","161","117","146","300","328","306"
"16","MIA","MIA",2018,"404","4.0","0.667","0.333","0.667","1.000","0.709","0.719","0.685","2","3","95.6","16.7","2385","77.8","77.48","2","8","8","-0.3","5.67","112","152","109","151","315","340","303"
"228","SD","SD",2019,"1628","14.0","0.328","0.219","0.380","0.547","0.362","0.241","0.222","21","64","86.8","14.0","2383","77.3","76.84","44","133","95","-0.5","5.55","114","149","112","149","315","343","317"
"185","ARI","ARI",2019,"1577","11.7","0.186","0.163","0.240","0.349","0.263","0.255","0.187","8","43","85.6","15.2","2377","79.8","79.41","33","99","86","-0.4","5.65","114","153","119","152","311","342","313"
"92","MIL","MIL",2021,"607","15.2","0.250","0.200","0.333","0.450","0.332","0.205","0.166","5","20","81.1","4.0","2376","81.0","81.59","12","34","58","0.6","6.30","110","156","117","148","312","338","307"
"35","OAK","OAK",2021,"399","8.8","0.250","0.000","0.400","0.250","0.276","0.296","0.255","2","8","83.6","8.4","2367","79.0","79.10","8","19","16","0.1","5.93","107","146","113","150","308","345","316"
"13","BAL","BAL",2019,"474","2.7","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"2361","79.2","77.55","2","5","8","-1.7","4.84","113","151","111","151","311","325","313"
"39","CHC","CHC",2019,"401","9.7","0.500","1.000","0.250","1.500","0.791","0.815","0.505","3","6","87.5","6.3","2354","78.3","77.75","3","13","26","-0.6","5.70","116","152","111","150","309","334","309"
"40","CHC","CHC",2018,"473","8.5","0.500","0.600","0.500","1.100","0.667","0.307","0.220","5","10","91.1","26.8","2334","76.1","75.47","3","18","22","-0.6","5.69","113","151","113","150","310","326","300"
"63","PHI","PHI",2021,"464","13.6","0.357","0.286","0.400","0.643","0.411","0.463","0.420","5","14","85.2","27.5","2334","79.7","80.46","7","25","38","0.8","6.49","108","148","114","147","307","340","300"
"28","SEA","SEA",2018,"385","7.3","0.111","0.000","0.167","0.111","0.098","0.228","0.238","1","9","82.1","17.5","2275","76.0","74.61","3","12","16","-1.4","4.99","110","150","105","149","291","327","307"
"42","SF","SF",2021,"1196","3.5","0.333","0.083","0.400","0.417","0.323","0.305","0.306","4","12","87.4","21.4","2273","76.5","77.27","4","18","24","0.8","6.63","107","151","116","146","305","328","299"
"22","HOU","HOU",2021,"276","8.0","0.500","0.500","0.500","1.000","0.621","0.287","0.253","1","2","91.1","28.0","2266","76.4","76.04","0","5","17","-0.4","5.96","111","149","112","152","297","334","305"
"30","CLE","CLE",2022,"412","7.3","0.222","0.333","0.333","0.556","0.328","0.290","0.192","2","9","98.4","19.3","2227","80.6","81.11","7","16","14","0.5","6.42","109","159","112","152","304","333","311"
"51","CHC","CHC",2022,"608","8.4","0.235","0.176","0.250","0.412","0.301","0.339","0.247","4","17","85.4","6.3","2207","76.8","76.45","6","27","24","-0.4","5.75","102","150","119","148","308","341","304"
"153","ARI","ARI",2018,"1476","10.4","0.308","0.282","0.370","0.590","0.385","0.347","0.288","12","39","89.8","20.4","2206","78.6","77.99","29","86","67","-0.6","5.46","110","150","111","150","313","344","314"
"27","NYM","NYM",2021,"319","8.5","0.000","0.000","0.000","0.000","0.000","0.099","0.010","0","5","79.3","29.7","2205","77.7","78.31","10","16","11","0.6","6.42","115","156","118","150","305","342","300"
"31","MIA","MIA",2021,"411","7.5","0.167","0.167","0.250","0.333","0.276","0.316","0.263","1","6","76.5","-15.5","2183","82.8","82.01","7","15","16","-0.8","5.65","103","150","116","150","311","339","303"
"8","SEA","SEA",2021,"271","3.0","0.000","0.000","0.000","0.000","0.000","0.014","0.011","0","1","89.0","55.0","2003","74.0","74.48","0","3","5","0.5","6.21","105","146","110","150","315","329","298"
